node_id,position_x,position_y,speed,direction,acceleration,packet_sent,packet_received,packet_drop_ratio,latency,message_retransmission_count,signal_strength,trust_score,neighbor_trust_score_avg,historical_trust_score,false_packet_injection,blackhole_attack_attempts,sybil_attack_attempts,denial_of_service
1,374.5401188,393.6355203,11.20922455,179.8812877,1.379989866,459,227,0.505446623,83.29807627,9,-74.8685549,0.733276808,0.71678105,0.872711504,43,3,1,3
2,950.7143064,473.4356594,9.987362887,268.8288381,-1.892928026,75,399,4.32,25.82819961,0,-67.57238513,0.893910922,0.953453644,0.787911889,16,1,0,1
3,731.9939418,854.5473932,5.284617375,202.560041,-0.920161834,177,433,1.446327684,46.60313939,0,-51.09669356,0.928744176,0.96599465,1.038159861,9,4,1,3
4,598.6584842,340.0043861,18.2180001,29.98892992,0.979683821,450,332,0.262222222,16.91954189,8,-42.64068211,0.445287301,0.403115404,0.391917387,36,1,0,4
5,156.0186404,869.6496848,14.29872482,66.80888524,-0.107463933,272,211,0.224264706,41.01588158,3,-92.98755759,0.282821307,0.221568039,0.287745131,36,0,2,1
6,155.9945203,88.13443098,25.97102977,78.95814625,1.431426232,388,198,0.489690722,2.529065648,8,-37.09282672,0.511785549,0.594733977,0.470666345,1,4,1,2
7,58.08361217,776.7984372,0.963287414,92.83113131,2.767247407,93,232,1.494623656,91.16217772,6,-34.72221973,0.093066198,0.160862032,0.094025452,11,2,0,3
8,866.1761458,847.5476331,19.31603783,203.5452211,-2.300719874,133,223,0.676691729,67.98061761,6,-81.85111913,0.938160462,0.970140865,1.033681231,36,1,0,0
9,601.1150117,181.8176528,22.88846636,181.4276807,1.257406298,456,60,0.868421053,33.94855805,1,-65.1828442,0.983853322,0.953727646,0.888757285,29,3,0,0
10,708.0725778,430.3465324,22.78459708,73.13761381,-1.617935066,74,131,0.77027027,88.23862775,1,-39.94872661,0.652704861,0.654796738,0.729142778,14,1,0,4
11,20.5844943,165.4997747,26.58221901,24.31974364,-0.513139636,269,93,0.654275093,19.11003331,4,-65.88561677,0.746161695,0.757734521,0.729928387,22,4,2,0
12,969.9098522,706.604129,21.87101228,61.71559361,-2.802823645,342,375,0.096491228,8.794639454,9,-66.26178,0.323672056,0.240886046,0.454157131,17,1,1,4
13,832.4426408,535.3477681,27.83430185,354.3772725,-2.184555706,253,120,0.5256917,94.31953653,0,-56.70337671,0.866267458,0.960714231,0.880363662,30,3,0,4
14,212.3391107,635.3233467,9.979697995,168.6769019,-1.081336266,417,471,0.129496403,31.59267921,6,-46.27924811,0.900302537,0.818666379,0.762715157,37,1,1,2
15,181.8249672,196.486967,15.0962825,312.2443817,-0.948085168,242,279,0.152892562,93.66136602,6,-53.40678299,0.076902252,0.121238983,0.19996408,28,1,0,2
16,183.4045099,211.7458621,0.422389898,305.550888,2.397511299,51,212,3.156862745,64.12367901,7,-56.14033507,0.131443868,0.130004199,0.258791774,13,2,1,1
17,304.242243,41.49732551,0.208727619,184.1470407,1.450877456,251,331,0.3187251,98.02425035,6,-73.9830066,0.260852936,0.312828682,0.164829343,42,0,0,3
18,524.7564316,322.0675352,7.203798614,254.407575,2.833097809,403,395,0.019851117,75.58949201,7,-55.89484061,0.703674473,0.655860536,0.845473197,39,3,0,0
19,431.9450186,559.7446613,3.024215914,69.39072375,0.594429062,81,380,3.691358025,11.44290283,2,-92.77089889,0.183364673,0.162386744,0.167104517,22,0,2,3
20,291.2291402,857.934914,7.806341038,247.8228138,-1.549717607,138,309,1.239130435,85.37063803,2,-71.33093182,0.220080099,0.22518039,0.344406012,24,2,1,3
21,611.8528947,666.9274475,5.311298836,98.05844853,-1.03406982,251,234,0.067729084,15.63997373,7,-86.8154102,0.38186356,0.30601039,0.341086968,40,4,0,4
22,139.4938607,435.3963234,0.855600745,299.5423548,-1.08098446,488,118,0.758196721,69.52756297,8,-62.37025108,0.611636357,0.682003831,0.468441467,37,4,0,0
23,292.1446485,953.1201144,27.27912439,30.14068792,-1.041034034,227,322,0.418502203,50.54033749,9,-81.65683686,0.976309365,1.074616869,1.064815511,27,2,2,2
24,366.3618433,719.2452006,0.246693942,278.3299222,1.037785039,242,454,0.876033058,71.06477581,3,-64.58456247,0.783894694,0.767412208,0.899638061,34,4,2,3
25,456.0699842,930.1652029,22.08246433,35.97728636,0.184847569,209,438,1.09569378,76.73396373,7,-45.58724777,0.558303517,0.533666802,0.457146113,29,4,2,4
26,785.1759614,527.5879733,4.564436608,317.2281253,-0.687454931,342,314,0.081871345,80.56285593,0,-69.62051138,0.049386217,0.068202341,0.065580499,26,1,2,2
27,199.6737822,258.9042748,27.36688866,109.5136265,-2.105461388,253,188,0.256916996,83.66303314,1,-84.68899359,0.516839914,0.55457365,0.61630739,7,1,2,4
28,514.2344384,52.82668636,26.78387819,235.5816113,-2.867165022,290,392,0.351724138,84.87522763,9,-84.39128279,0.20408519,0.277800472,0.192548919,47,1,1,3
29,592.4145689,726.0848515,19.61703439,175.5008203,-1.686991934,164,159,0.030487805,41.84486823,9,-36.56218863,0.300069051,0.274647251,0.386578812,18,2,0,3
30,46.45041272,121.302998,20.16702449,131.8691323,-2.355171576,259,277,0.069498069,89.03357915,9,-45.33666648,0.250860687,0.303826142,0.292288675,0,4,1,3
